GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
-1113178468,SushiGo,3,GAME_OVER,62,0,2,36,Improved BasicMCTS,44.0,53.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
-175367348,SushiGo,3,GAME_OVER,60,0,2,37,Improved BasicMCTS,47.0,61.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
1362911089,SushiGo,3,GAME_OVER,63,0,2,38,Improved BasicMCTS,46.0,53.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
-347120262,SushiGo,3,GAME_OVER,61,0,2,39,Improved BasicMCTS,43.0,59.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
1416514647,SushiGo,3,GAME_OVER,61,0,2,40,Improved BasicMCTS,48.0,52.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
-1570736736,SushiGo,3,GAME_OVER,60,0,2,41,Improved BasicMCTS,39.0,53.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
-1532681659,SushiGo,3,GAME_OVER,60,0,2,42,Improved BasicMCTS,58.0,55.0,BasicMCTS,1,Improved BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,Improved BasicMCTS,1
2038358424,SushiGo,3,GAME_OVER,63,0,2,43,Improved BasicMCTS,42.0,49.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
1950377550,SushiGo,3,GAME_OVER,60,0,2,44,Improved BasicMCTS,56.0,57.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
-389679841,SushiGo,3,GAME_OVER,61,0,2,45,Improved BasicMCTS,55.0,49.0,BasicMCTS,1,Improved BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,Improved BasicMCTS,1
-1652369011,SushiGo,3,GAME_OVER,63,0,2,46,Improved BasicMCTS,58.0,63.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
649728961,SushiGo,3,GAME_OVER,60,0,2,47,Improved BasicMCTS,52.0,65.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
1939385821,SushiGo,3,GAME_OVER,61,0,2,48,Improved BasicMCTS,54.0,71.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
-765151654,SushiGo,3,GAME_OVER,61,0,2,49,Improved BasicMCTS,45.0,53.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
-382843140,SushiGo,3,GAME_OVER,60,0,2,50,Improved BasicMCTS,46.0,71.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
1616233144,SushiGo,3,GAME_OVER,61,0,2,51,Improved BasicMCTS,52.0,73.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
-1825767405,SushiGo,3,GAME_OVER,63,0,2,52,Improved BasicMCTS,45.0,56.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
-1681345762,SushiGo,3,GAME_OVER,63,0,2,53,Improved BasicMCTS,37.0,53.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
-1466223696,SushiGo,3,GAME_OVER,65,0,2,54,Improved BasicMCTS,40.0,57.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
-898042700,SushiGo,3,GAME_OVER,60,0,2,55,Improved BasicMCTS,51.0,58.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
-622095176,SushiGo,3,GAME_OVER,60,0,2,56,Improved BasicMCTS,58.0,56.0,BasicMCTS,1,Improved BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,Improved BasicMCTS,1
-1621553363,SushiGo,3,GAME_OVER,61,0,2,57,Improved BasicMCTS,49.0,75.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
2021511387,SushiGo,3,GAME_OVER,60,0,2,58,Improved BasicMCTS,46.0,37.0,BasicMCTS,1,Improved BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,Improved BasicMCTS,1
-1677040338,SushiGo,3,GAME_OVER,61,0,2,59,Improved BasicMCTS,48.0,64.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
1955989905,SushiGo,3,GAME_OVER,62,0,2,60,Improved BasicMCTS,46.0,57.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
-1876231119,SushiGo,3,GAME_OVER,63,0,2,61,Improved BasicMCTS,46.0,65.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
-1294795098,SushiGo,3,GAME_OVER,62,0,2,62,Improved BasicMCTS,49.0,62.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
127372284,SushiGo,3,GAME_OVER,60,0,2,63,Improved BasicMCTS,45.0,57.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
-991207967,SushiGo,3,GAME_OVER,62,0,2,64,Improved BasicMCTS,43.0,51.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
1049258221,SushiGo,3,GAME_OVER,64,0,2,65,Improved BasicMCTS,45.0,57.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
-2039767727,SushiGo,3,GAME_OVER,64,0,2,66,Improved BasicMCTS,47.0,56.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
1908179359,SushiGo,3,GAME_OVER,61,0,2,67,Improved BasicMCTS,41.0,53.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
1115136563,SushiGo,3,GAME_OVER,60,0,2,68,Improved BasicMCTS,54.0,62.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
-1493045323,SushiGo,3,GAME_OVER,60,0,2,69,Improved BasicMCTS,47.0,43.0,BasicMCTS,1,Improved BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,Improved BasicMCTS,1
-394703714,SushiGo,3,GAME_OVER,63,0,2,70,Improved BasicMCTS,51.0,59.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
-432712488,SushiGo,3,GAME_OVER,62,0,2,71,Improved BasicMCTS,59.0,48.0,BasicMCTS,1,Improved BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,Improved BasicMCTS,1
491282519,SushiGo,3,GAME_OVER,63,0,2,72,Improved BasicMCTS,47.0,51.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
-884033504,SushiGo,3,GAME_OVER,62,0,2,73,Improved BasicMCTS,41.0,49.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
991772015,SushiGo,3,GAME_OVER,60,0,2,74,Improved BasicMCTS,46.0,57.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
-835279488,SushiGo,3,GAME_OVER,64,0,2,75,Improved BasicMCTS,49.0,59.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
288423849,SushiGo,3,GAME_OVER,61,0,2,76,Improved BasicMCTS,57.0,60.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
346665430,SushiGo,3,GAME_OVER,60,0,2,77,BasicMCTS,62.0,47.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
879079583,SushiGo,3,GAME_OVER,60,0,2,78,BasicMCTS,63.0,40.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
-619666105,SushiGo,3,GAME_OVER,60,0,2,79,BasicMCTS,51.0,49.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
503938916,SushiGo,3,GAME_OVER,62,0,2,80,BasicMCTS,58.0,52.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
-428737539,SushiGo,3,GAME_OVER,62,0,2,81,BasicMCTS,58.0,44.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
-1745970416,SushiGo,3,GAME_OVER,60,0,2,82,BasicMCTS,58.0,41.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
-1436161366,SushiGo,3,GAME_OVER,60,0,2,83,BasicMCTS,62.0,46.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
-1151041315,SushiGo,3,GAME_OVER,61,0,2,84,BasicMCTS,67.0,39.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
697067980,SushiGo,3,GAME_OVER,62,0,2,85,BasicMCTS,51.0,42.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
1168140970,SushiGo,3,GAME_OVER,61,0,2,86,BasicMCTS,70.0,40.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
-1491060889,SushiGo,3,GAME_OVER,64,0,2,87,BasicMCTS,64.0,54.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
-1819802610,SushiGo,3,GAME_OVER,63,0,2,88,BasicMCTS,54.0,40.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
-2121274456,SushiGo,3,GAME_OVER,61,0,2,89,BasicMCTS,66.0,43.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
259280696,SushiGo,3,GAME_OVER,60,0,2,90,BasicMCTS,59.0,56.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
1706137030,SushiGo,3,GAME_OVER,61,0,2,91,BasicMCTS,56.0,41.0,Improved BasicMCTS,1,BasicMCTS,1,2,2,Improved BasicMCTS,Improved BasicMCTS,BasicMCTS,1
